Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
HOPE AIRPORT,49.37,-121.493,BC,7.7,0,NA,14.9,0,-1.5,0,,,NA,153.8,0,NA,,17,,,NA,288.7,0,1113543
HOPE SLIDE,49.267,-121.233,BC,4,0,4.3,14,0,-4.5,0,0,0,0,94,0,90,0,15,,,NA,393.1,0,1113581
LILLOOET,50.684,-121.934,BC,5.2,0,NA,14.8,0,-2.8,0,,,NA,52.6,0,NA,,8,,,NA,359.6,0,1114619
LYTTON A,50.224,-121.582,BC,5.5,2,NA,14,2,-3.3,1,,,NA,0,3,NA,,0,,,NA,326,0,1114738
LYTTON 2,50.257,-121.608,BC,,,NA,,,,,0,24,NA,58.8,24,NA,,3,,,NA,,,1114745
LYTTON RCS,50.224,-121.582,BC,5.6,0,NA,14.5,0,-3.4,0,,,NA,80.2,0,NA,0,7,,,NA,348.5,0,1114746
HEDLEY N,49.364,-120.069,BC,3.6,1,NA,12,1,-5,1,2.2,1,NA,12.8,1,NA,0,5,,,NA,388.6,0,1123370
HEDLEY NP MINE,49.369,-120.022,BC,0.7,6,4.4,11.5,6,-8.5,6,8,6,NA,8,6,NA,,4,,,NA,379.9,0,1123390
JELLICOE,49.673,-120.333,BC,1.7,0,NA,11.5,0,-9.5,0,4,0,NA,22.8,0,NA,30,11,,,NA,457.7,0,1123721
KELOWNA,49.957,-119.378,BC,2.8,0,NA,12.8,0,-7.7,0,,,NA,33,0,NA,,9,,,NA,426.6,0,1123939
KELOWNA UBCO,49.941,-119.4,BC,3.6,0,NA,13.2,0,-5.6,0,,,NA,23,0,NA,,6,,,NA,404.1,0,1123996
KELOWNA MWS0,49.95,-119.4,BC,3.6,0,NA,13.2,0,-5.5,0,13.2,0,NA,29.2,0,NA,0,7,,,NA,402.5,0,11239R0
MERRITT,50.113,-120.778,BC,3.2,0,NA,13.8,0,-8.4,0,,,NA,0.2,27,NA,,0,,,NA,414.9,0,1125073
MERRITT STP,50.114,-120.801,BC,3.9,0,4.4,13.5,0,-6.5,0,1.2,0,14,8.2,0,42,0,4,,,NA,396.2,0,1125079
OKANAGAN CENTRE,50.056,-119.445,BC,3.7,0,2.7,11.5,0,-2.5,0,5.6,0,72,31.6,0,139,0,8,,,NA,399.8,0,1125700
OLIVER STP,49.179,-119.545,BC,6,13,4.6,15,13,-5,10,0,10,NA,6,10,NA,,3,,,NA,179.8,0,1125766
OSOYOOS CS,49.028,-119.441,BC,5.4,0,3.5,12.8,0,-5.5,0,,,NA,10.1,0,NA,0,2,,,NA,352.6,0,1125852
PEACHLAND,49.783,-119.717,BC,4.6,4,3.2,12.5,4,-2,4,3,4,NA,35.8,4,NA,0,9,,,NA,322,0,1126070
PENTICTON A,49.463,-119.602,BC,4.6,0,NA,13,0,-5.1,0,1.8,0,NA,18.6,0,NA,,6,,,NA,376.5,0,1126146
PRINCETON A,49.468,-120.513,BC,1.3,0,3.6,8.5,0,-8.5,0,0.4,0,2,30.8,0,150,13,7,,,NA,468.3,0,1126510
VERNON BELLA VISTA,50.264,-119.31,BC,3,0,3.3,12.5,0,-4,0,7.2,0,60,38,0,156,0,10,,,NA,419.5,0,1128553
VERNON AUTO,50.223,-119.194,BC,2.1,0,NA,12,0,-5.4,0,,,NA,30.6,0,NA,,8,,,NA,445.2,0,1128582
VERNON NORTH,50.344,-119.27,BC,2.2,0,2.4,9.5,0,-4,0,19,0,141,49,0,195,0,11,,,NA,441.2,0,1128583
VERNON SILVER STAR LODGE,50.359,-119.056,BC,-2.3,13,NA,4.5,2,-10,13,51,2,NA,51,2,NA,0,10,,,NA,305.2,0,1128584
WINFIELD,50.037,-119.415,BC,3.4,0,3.4,11.5,0,-3,0,9.8,0,86,28.6,0,137,0,7,,,NA,408.3,0,1128958
PRINCETON CS,49.465,-120.51,BC,0.7,0,NA,8.7,0,-9,0,,,NA,20,0,NA,15,7,,,NA,483.4,0,112FN0M
SUMMERLAND CS,49.563,-119.649,BC,4,0,3.1,12.9,0,-4.3,0,,,NA,18,0,NA,,6,,,NA,392,0,112G8L1
MIDWAY,49.004,-118.772,BC,2.5,0,3.8,12.5,0,-8,0,17,0,128,30.6,0,119,0,6,,,NA,434.4,0,1135126
BILLINGS,49.017,-118.228,BC,2.5,0,3.3,11.5,0,-6,0,15.6,0,82,30.4,0,92,0,7,,,NA,434.4,0,1140876
CASTLEGAR A,49.296,-117.633,BC,3,0,3.2,12.2,0,-7.3,0,12.6,0,49,62.9,0,123,0,8,,,NA,419.6,0,1141455
CASTLEGAR BCHPA DAM,49.343,-117.774,BC,4,0,3.7,12.5,0,-3,0,0,0,0,30.6,0,69,0,8,,,NA,392.6,0,1141457
CRESTON,49.097,-116.518,BC,3.4,0,3.4,12,0,-6,0,4,0,23,76.2,0,174,0,7,,,NA,409.9,0,1142160
DUNCAN LAKE DAM,50.239,-116.972,BC,1.6,0,3.1,8,0,-8.5,0,13,0,53,82.7,0,147,0,11,,,NA,458.8,0,1142574
FAUQUIER,49.872,-118.068,BC,1.9,0,2.5,9,0,-6,0,11,0,56,52.2,0,118,0,10,,,NA,450,0,1142820
KASLO,49.913,-116.921,BC,3,0,3.5,9,0,-7,0,11.1,0,53,94.9,0,157,0,11,,,NA,420.7,0,1143900
LISTER,49.032,-116.458,BC,2.8,0,3,10.5,0,-7.5,0,1,0,6,53.8,0,163,0,4,,,NA,426.7,0,1144635
NAKUSP CS,50.269,-117.817,BC,2.2,0,NA,9.9,0,-5.9,0,,,NA,81.1,0,NA,1,12,,,NA,443.4,0,1145297
NELSON NE,49.586,-117.206,BC,3.4,0,NA,10,0,-4.5,0,10.4,0,NA,92.4,0,NA,0,9,,,NA,407.6,0,1145442
NEW DENVER,49.996,-117.37,BC,2.7,0,3,9.5,0,-5,0,9.8,0,48,72.8,0,127,0,11,,,NA,427.9,0,1145460
NELSON CS,49.491,-117.305,BC,3.6,0,NA,12.4,0,-4.8,0,,,NA,62.9,0,NA,0,8,,,NA,403.8,0,1145M29
WARFIELD RCS,49.112,-117.739,BC,3.3,2,NA,11.4,2,-6.4,1,,,NA,130.3,4,NA,,12,,,NA,382.1,0,1148705
CRESTON CAMPBELL SCIENTIFIC,49.082,-116.501,BC,3.3,0,NA,11.7,0,-5.1,0,,,NA,63.5,0,NA,2,4,,,NA,411.9,0,114B1F0
NELSON RIXEN CREEK,49.512,-117.399,BC,2.1,0,NA,10.5,0,-6,0,22,0,NA,89.2,0,NA,12,10,,,NA,445.7,0,114EMDM
BAYNES LAKE KOOTENAY RIVER,49.226,-115.221,BC,0.5,5,3.7,12.5,5,-12.5,5,0,4,NA,0.8,4,NA,0,0,,,NA,401.6,0,1150690
CRANBROOK A,49.612,-115.782,BC,0.4,0,NA,10.9,0,-13.7,0,10,0,NA,20.2,1,NA,0,5,,,NA,492.5,0,1152105
CRANBROOK AIRPORT AUTO,49.618,-115.789,BC,0.5,0,NA,10.7,0,-13.8,0,,,NA,16.2,0,NA,2,4,,,NA,489.1,0,1152106
FERNIE,49.489,-115.073,BC,1.2,7,5,13.5,7,-13,7,4,7,NA,78,7,NA,0,6,,,NA,353.2,0,1152850
FORDING RIVER COMINCO,50.149,-114.855,BC,-5.4,21,2.7,8.5,15,-23.2,15,20.4,15,NA,20.4,15,NA,,6,,,NA,163.9,0,1152899
FT STEELE DANDY CRK,49.524,-115.461,BC,0.8,14,NA,13,8,-12.5,9,1,8,NA,9.3,8,NA,0,4,,,NA,241.2,0,1153034
KIMBERLEY PCC,49.631,-115.962,BC,-0.5,12,3.6,10,12,-13,12,13,12,NA,13,12,NA,2,3,,,NA,295.5,0,1154203
KOOTENAY NP WEST GATE,50.631,-116.061,BC,0.9,6,5.1,9,4,-9.5,6,3.2,0,23,13,0,67,0,4,,,NA,375.6,0,1154410
SPARWOOD,49.745,-114.883,BC,-0.2,2,4.4,11,2,-16,2,5.6,2,NA,38.8,2,NA,0,4,,,NA,472.6,0,1157630
SPARWOOD CS,49.745,-114.884,BC,-0.5,0,NA,10.8,0,-16.2,0,,,NA,0,27,NA,,0,,,NA,518.3,0,1157631
WARDNER KTNY HATCHERY,49.473,-115.46,BC,1.8,4,4.4,12,4,-10.5,4,0,4,NA,17.4,4,NA,0,3,,,NA,388.1,0,1158692
WASA,49.807,-115.631,BC,1.3,0,4.5,11,0,-11.5,0,7.4,0,55,19.8,0,107,0,5,,,NA,466.5,0,1158730
ASHCROFT,50.708,-121.281,BC,4.6,0,NA,13.5,0,-4.2,0,,,NA,24.6,0,NA,,6,,,NA,375.5,0,1160515
BLUE RIVER A,52.129,-119.29,BC,-0.9,0,3.5,8.4,0,-13.8,0,32.6,0,66,65.8,0,122,58,12,,,NA,528.3,0,1160899
BLUE RIVER CS,52.129,-119.29,BC,-0.4,0,NA,10.3,0,-12.6,0,,,NA,0.2,0,NA,,0,,,NA,515.1,0,1160H99
BUFFALO LAKE,51.709,-121.083,BC,-0.4,1,4,9.5,1,-15,1,22.4,1,NA,51.6,1,NA,11,10,,,NA,497.1,0,1161104
CLEARWATER AUTO,51.653,-120.082,BC,1.3,0,NA,11,0,-8.3,0,,,NA,48,0,NA,20,9,,,NA,468.6,0,1161650
CLINTON (AUT),51.145,-121.505,BC,0.5,0,NA,9.4,0,-11.6,0,,,NA,24.5,1,NA,,9,,,NA,490.3,0,1161661
CLINTON A,51.266,-121.685,BC,-0.3,0,NA,10.5,0,-10.2,0,,,NA,13.4,0,NA,,4,,,NA,511,0,1161662
CRISS CREEK,51.03,-120.728,BC,-0.2,0,5,11,0,-16,0,15.2,0,91,26,0,147,2,7,,,NA,510.3,0,1162177
DARFIELD,51.297,-120.183,BC,2.1,2,3.9,12,1,-4.5,1,21,1,NA,38.4,1,NA,,10,,,NA,414.3,0,1162265
KAMLOOPS A,50.703,-120.449,BC,4,0,NA,15.1,0,-4.5,0,11.8,0,NA,27.6,0,NA,,8,,,NA,393,0,1163781
KAMLOOPS AUT,50.702,-120.442,BC,4.1,0,NA,14.8,0,-4.3,0,,,NA,24.5,0,NA,,6,,,NA,389.2,0,1163842
100 MILE HOUSE 6NE,51.681,-121.217,BC,-0.6,0,NA,10,0,-12,0,29.8,0,NA,50.6,0,NA,11,9,,,NA,519.7,0,1165793
RED LAKE,50.935,-120.8,BC,1.2,0,5.3,10,0,-12,0,19.9,0,89,35.7,0,152,1,7,,,NA,471.5,0,1166658
SILVER CREEK,50.545,-119.35,BC,1.7,6,2.9,9,6,-7,6,15,6,NA,48.6,6,NA,0,10,,,NA,358.3,0,1167337
SUN PEAKS MOUNTAIN,50.903,-119.911,BC,-4.6,19,NA,3,19,-11,19,6,19,NA,6,19,NA,126,1,,,NA,203,0,1168204
VAVENBY,51.576,-119.778,BC,1.7,0,4.4,10,0,-8,0,7,0,60,22.4,0,100,0,9,,,NA,455.8,0,1168520
KAMLOOPS PRATT ROAD,50.6,-120.2,BC,2.3,0,NA,11,0,-4.5,0,16.2,0,NA,35,0,NA,0,10,,,NA,438.7,0,116C8P0
SALMON ARM CS,50.703,-119.291,BC,2.3,0,2.3,11.5,0,-4.9,0,,,NA,41.1,0,NA,0,7,,,NA,439.3,0,116FRMN
SUN PEAKS LOWER,50.887,-119.882,BC,-1.8,19,NA,7.5,19,-13.5,19,4,19,NA,4,19,NA,39,1,,,NA,178.6,0,116Q20D
SUN PEAKS UPPER,50.902,-119.918,BC,-4.1,2,NA,2.5,1,-12,1,37,1,NA,37,1,NA,157,8,,,NA,574.3,0,116QK0M
GOLDEN A,51.299,-116.982,BC,-0.7,3,4.3,9,3,-12.5,3,10,3,NA,23.4,3,NA,13,3,,,NA,468,0,1173210
GOLDSTREAM RIVER,51.63,-118.425,BC,-0.5,2,3.7,7,0,-9,2,50,0,81,103,0,155,67,16,,,NA,480,0,1173242
MICA DAM,52.053,-118.585,BC,-0.1,2,3.3,5.5,1,-8,1,63,1,NA,125.5,1,NA,108,13,,,NA,469.7,0,1175122
REVELSTOKE A,50.967,-118.183,BC,0.9,0,NA,9.8,0,-7.2,0,,,NA,87.1,0,NA,,11,,,NA,478.8,0,1176745
REVELSTOKE AIRPORT AUTO,50.958,-118.176,BC,1,0,NA,10.1,0,-7.4,0,,,NA,91.8,0,NA,37,11,,,NA,476.1,0,1176755
YOHO PARK,51.443,-116.345,BC,-4.3,0,NA,5,0,-22.9,0,,,NA,59,0,NA,84,11,,,NA,624.9,0,11790J1
YOHO NP EMERALD LAKE,51.433,-116.541,BC,-1.9,5,NA,15.5,5,-16,5,24.5,5,NA,30.5,5,NA,0,7,,,NA,457.4,0,117R00G
YOHO NP OHARA LAKE,51.356,-116.337,BC,-5,0,NA,5,0,-23,0,62,0,NA,62,0,NA,89,13,,,NA,643.2,0,117R00H
CHARLIE LAKE,56.298,-121.017,BC,-8,2,NA,12,1,-30,2,23,1,NA,23,1,NA,70,5,,,NA,676.5,0,11814FR
CHETWYND A,55.687,-121.627,BC,-5.9,0,1.3,11.7,0,-28.1,0,90.8,0,400,43.9,0,271,13,6,,,NA,669.2,0,1181508
DAWSON CREEK A,55.742,-120.183,BC,-8.6,0,NA,11.1,0,-29.2,0,,,NA,9.6,0,NA,,3,,,NA,744.4,0,1182289
FORT ST. JOHN A,56.238,-120.74,BC,-9.6,0,NA,9.7,0,-29.2,0,35.3,1,NA,37.6,1,NA,16,8,,,NA,771.5,0,1183001
MACKENZIE,55.299,-123.133,BC,-6.1,1,NA,7.3,1,-24.5,1,,,NA,38,1,NA,,2,,,NA,650.9,0,1184791
MACKENZIE AIRPORT AUTO,55.305,-123.138,BC,-5.8,0,NA,7.5,0,-23.8,0,,,NA,49.1,0,NA,42,8,,,NA,665,0,1184793
SIKANNI CHIEF,57.25,-122.718,BC,-8,6,NA,11,6,-34.2,6,68,6,NA,68,6,NA,26,6,,,NA,572.6,0,1187335
DEASE LAKE A,58.422,-130.031,BC,-11.2,0,NA,5.7,0,-34.7,0,,,NA,15.2,0,NA,,3,,,NA,816.5,0,1192341
FORT NELSON A,58.836,-122.597,BC,-14.7,0,NA,11.7,0,-37.5,0,40.1,0,NA,36,0,NA,46,9,,,NA,916,0,1192946
FORT NELSON UA,58.841,-122.573,BC,-13.7,0,NA,11.5,0,-35.5,0,33.5,0,NA,33.5,0,NA,46,5,,,NA,888.7,0,1192950
DEASE LAKE (AUT),58.426,-130.026,BC,-11.3,0,NA,5.7,0,-34.8,0,,,NA,9.7,0,NA,48,3,,,NA,819.2,0,119BLM0
ATLIN,59.567,-133.7,BC,-8.8,0,1.9,7.5,0,-31,0,9.8,0,41,9.8,0,39,11,4,,,NA,750.6,0,1200560
PLEASANT CAMP,59.45,-136.367,BC,-4.4,0,1.1,5,0,-22,0,29,0,26,71.4,0,51,0,11,,,NA,625.9,0,1206197
BEAVER CREEK A,62.41,-140.868,YT,-20,0,-0.2,21,0,-46,0,0,0,0,0,0,0,36,0,,,NA,1064.6,0,2100160
BURWASH A,61.371,-139.04,YT,-15.9,0,NA,9.4,0,-42.9,0,,,NA,0,1,NA,,0,,,NA,948.5,0,2100181
BURWASH A,61.367,-139.05,YT,-15.7,0,0.7,11,0,-43.5,0,2,0,19,0.2,0,3,5,0,,,NA,943.1,0,2100182
BURWASH AIRPORT AUTO BC,61.367,-139.017,YT,-16.2,0,NA,9.7,0,-43.7,0,,,NA,0.4,0,NA,1,0,,,NA,956.9,0,2100184
CARMACKS CS,62.115,-136.192,YT,-17.1,0,NA,10.6,0,-43.5,0,,,NA,5.8,0,NA,31,2,,,NA,982.2,0,2100301
DAWSON A,64.043,-139.128,YT,-20.7,0,0.8,3,0,-47.1,0,15.2,0,84,15.8,0,123,46,3,,,NA,1083.5,0,2100402
FARO A,62.207,-133.373,YT,-16.2,0,-0.8,6.8,0,-44.8,0,5.4,0,37,4.4,0,36,35,1,,,NA,958,0,2100517
FARO (AUT),62.208,-133.376,YT,-16.4,0,NA,6.8,0,-44.8,0,,,NA,5.2,0,NA,,2,,,NA,963.2,0,2100518
HAINES JUNCTION,60.773,-137.58,YT,-12.6,0,NA,10.1,0,-38.9,0,,,NA,6.8,0,NA,24,2,,,NA,856.6,0,2100630
IVVAVIK NAT. PARK,69.164,-140.15,YT,-21.3,0,NA,-2.3,0,-40.2,0,,,NA,1.3,2,NA,11,0,,,NA,1099.8,0,2100660
KOMAKUK BEACH,69.612,-140.197,YT,-19.2,2,NA,-0.2,1,-37.8,1,,,NA,,,NA,,,,,NA,968.2,0,2100682
MACMILLAN PASS,63.244,-130.037,YT,-17.1,0,NA,2.4,0,-40.9,0,,,NA,12.2,2,NA,93,2,,,NA,982,0,2100693
MARGARET LAKE,68.801,-140.848,YT,-27.3,6,NA,-5.6,6,-42.3,4,,,NA,,,NA,,,,,NA,997.5,0,2100697
MAYO A,63.616,-135.868,YT,-18.5,0,NA,4.8,0,-48.2,0,18.4,0,NA,8.6,1,NA,32,3,,,NA,1023.3,0,2100701
MAYO ROAD,60.876,-135.183,YT,-14.2,0,-1.2,9,0,-43.5,0,6,0,43,6,0,43,0,2,,,NA,902.9,0,2100709
OLD CROW A,67.571,-139.839,YT,-18.7,5,7.8,19.9,5,-46.6,5,13,5,NA,9,5,NA,86,2,,,NA,844.5,0,2100800
OLD CROW RCS,67.571,-139.839,YT,-24.5,0,NA,-2,0,-49.7,0,,,NA,7.3,1,NA,36,2,,,NA,1191.1,0,2100805
ROCK RIVER,66.981,-136.218,YT,-16.9,0,NA,0.5,0,-35.6,0,,,NA,1.4,3,NA,,1,,,NA,977.2,0,2100935
SHINGLE POINT A,68.95,-137.217,YT,-18.6,2,NA,-1.3,1,-37.5,1,,,NA,,,NA,,,,,NA,952.6,0,2100950
DAWSON,64.05,-139.133,YT,-20.8,0,NA,3.5,0,-47.1,0,,,NA,18.1,0,NA,42,3,,,NA,1085.8,0,2100LRP
TESLIN (AUT),60.167,-132.733,YT,-12.2,0,NA,6.5,0,-35.8,0,,,NA,5.8,0,NA,37,1,,,NA,846.1,0,2101102
WATSON LAKE (AUT),60.118,-128.822,YT,-16.2,0,NA,7.1,0,-40.4,0,,,NA,13.8,0,NA,38,4,,,NA,956.7,0,2101204
WHITEHORSE A,60.709,-135.067,YT,-12.4,0,NA,7.8,0,-36.7,0,,,NA,,,NA,,,,,NA,851.4,0,2101303
WHITEHORSE AUTO,60.733,-135.098,YT,-12,0,NA,8.1,0,-35.6,0,,,NA,3.4,0,NA,34,1,,,NA,838.6,0,2101310
CAPE PARRY A,70.167,-124.717,NT,-25.7,2,NA,-6.8,1,-37,1,,,NA,,,NA,,,,,NA,1136.2,0,2200675
COLVILLE LAKE,67.021,-126.123,NT,-24.5,0,NA,-2.7,0,-39.8,0,,,NA,17.9,10,NA,,7,,,NA,1189.7,0,2200824
DELINE CS,65.209,-123.433,NT,-22.3,0,NA,-1.9,0,-39.8,0,,,NA,,,NA,15,,,,NA,1128.2,0,2201022
DEADMEN VALLEY,61.257,-124.468,NT,-18.4,0,NA,7.8,0,-44.4,0,,,NA,,,NA,38,,,,NA,1020.1,0,22010H0
FORT GOOD HOPE CS,66.242,-128.644,NT,-21.9,0,NA,1,0,-39.2,0,,,NA,,,NA,56,,,,NA,1116.1,0,2201450
FORT LIARD,60.233,-123.467,NT,-15.7,0,NA,12.5,0,-35.8,0,,,NA,,,NA,,,,,NA,943.2,0,2201579
FORT PROVIDENCE,61.317,-117.602,NT,-21.2,0,NA,1.1,0,-38,0,,,NA,,,NA,,,,,NA,1096.7,0,2201799
FORT RELIANCE (AUT),62.711,-109.168,NT,-28.6,0,NA,-8,0,-41.7,0,,,NA,13.7,2,NA,36,2,,,NA,1304.1,0,2201903
FORT SIMPSON CLIMATE,61.76,-121.237,NT,-20.8,0,NA,-0.4,0,-38.8,0,,,NA,27.3,0,NA,46,9,,,NA,1087.1,0,2202102
FORT SIMPSON A,61.76,-121.237,NT,-20.8,0,NA,-0.9,0,-38.5,0,33.3,0,NA,39,0,NA,64,11,,,NA,1086.2,0,2202103
FORT SMITH A,60.02,-111.962,NT,-23.1,0,NA,-4.8,0,-38.1,0,23.1,0,NA,12.2,0,NA,35,4,,,NA,1150.9,0,2202201
FORT SMITH CLIMATE,60.026,-111.929,NT,-22.8,0,NA,-4.7,0,-37.5,0,,,NA,11.1,0,NA,45,3,,,NA,1142.4,0,2202202
HANBURY RIVER,63.6,-105.133,NT,-31.2,0,NA,-11.6,0,-42.5,0,,,NA,2.1,2,NA,39,0,,,NA,1376.9,0,2202351
HAY RIVER A,60.84,-115.783,NT,-21.4,0,NA,-2.5,0,-39,0,16.2,1,NA,13.4,1,NA,56,5,,,NA,1104,0,2202401
HAY RIVER CLIMATE,60.839,-115.777,NT,-21,0,NA,-2.3,0,-37.6,0,,,NA,28.8,0,NA,33,12,,,NA,1092.1,0,2202402
INNER WHALEBACKS,61.92,-113.726,NT,-24.6,0,NA,-5.7,0,-36.1,0,,,NA,7.9,7,NA,,4,,,NA,1192.2,0,2202560
INUVIK CLIMATE,68.317,-133.517,NT,-20.1,0,NA,-0.1,0,-36.5,0,,,NA,6.6,0,NA,41,1,,,NA,1065.5,0,2202578
LAC LA MARTRE,63.134,-117.245,NT,-25.8,0,NA,-3.5,0,-39.6,0,,,NA,,,NA,,,,,NA,1226.9,0,2202678
NORMAN WELLS A,65.281,-126.799,NT,-22.3,0,NA,0.7,0,-45.1,0,14.6,0,NA,11.6,0,NA,25,6,,,NA,1127,0,2202801
NORMAN WELLS CLIMATE,65.288,-126.753,NT,-21.8,0,NA,0.6,0,-43.3,0,,,NA,14.1,1,NA,39,5,,,NA,1114.6,0,2202810
PAULATUK,69.358,-124.083,NT,-23.8,0,NA,-6.5,0,-36.8,0,,,NA,7.5,0,NA,,2,,,NA,1170.6,0,2203058
PELLY ISLAND,69.633,-135.444,NT,-23,8,NA,-5.7,7,-33.7,7,,,NA,0,11,NA,,0,,,NA,820.9,0,2203095
RABBIT KETTLE,61.963,-127.209,NT,-12.6,20,NA,-0.6,20,-42.6,18,,,NA,,,NA,,,,,NA,244.5,0,2203342
RAE LAKES,64.112,-117.328,NT,-24.7,0,NA,-1.6,0,-38.6,0,,,NA,,,NA,,,,,NA,1194.5,0,2203359
TUKTOYAKTUK,69.433,-133.017,NT,-23.1,0,NA,-2.4,0,-38,0,,,NA,,,NA,,,,,NA,1150.7,0,2203914
YELLOWKNIFE A,62.463,-114.44,NT,-25.9,0,NA,-4.9,0,-41.5,0,18.6,0,NA,13.8,0,NA,37,6,,,NA,1229.7,0,2204101
YELLOWKNIFE-HENDERSON,62.45,-114.383,NT,-26.1,0,NA,-4.5,0,-42,0,9,0,NA,9,0,NA,45,5,,,NA,1234,0,2204110
YOHIN,61.242,-123.742,NT,-17.9,1,NA,11.4,1,-39.2,0,,,NA,,,NA,55,,,,NA,969.6,0,2204300
LIVERPOOL BAY,69.604,-130.911,NT,-23.7,2,NA,-5.2,1,-38,1,,,NA,,,NA,,,,,NA,1083.9,0,220B68C
LITTLE CHICAGO,67.179,-130.228,NT,-24.2,0,NA,0.7,0,-43.8,0,,,NA,,,NA,,,,,NA,1181.7,0,220B6Q3
LUTSELK'E CS,62.416,-110.69,NT,-27.9,0,NA,-6.9,0,-41.7,0,,,NA,,,NA,33,,,,NA,1285.1,0,220L002
LINDBURG LANDING,61.125,-122.851,NT,-24.4,23,NA,-0.7,23,-37.3,23,,,NA,2.9,23,NA,71,1,,,NA,212,0,220N003
TRAIL VALLEY,68.746,-133.502,NT,-21.3,0,NA,-1.3,0,-37.5,0,,,NA,3.2,2,NA,,0,,,NA,1099.5,0,220N005
ARVIAT A,61.094,-94.072,NU,-31.5,2,NA,-13.6,2,-39.1,2,,,NA,23.1,2,NA,,4,,,NA,1287.4,0,2300427
BAKER LAKE CLIMATE,64.317,-96,NU,-33.5,0,NA,-14.3,0,-40.3,0,,,NA,2.5,0,NA,3,0,,,NA,1442.8,0,2300501
BAKER LAKE A,64.299,-96.078,NU,-33.1,0,NA,-14.1,0,-40.4,0,6.6,0,NA,6.8,1,NA,54,1,,,NA,1430.1,0,2300503
BATHURST INLET,66.838,-108.015,NU,-26.7,0,NA,-7.2,0,-40.2,0,,,NA,10.7,2,NA,,4,,,NA,1250.3,0,2300551
KUGLUKTUK A,67.817,-115.144,NU,-27.3,0,NA,-7.8,0,-41.7,0,22.6,0,NA,5.3,0,NA,51,3,,,NA,1268.3,0,2300903
KUGLUKTUK CLIMATE,67.817,-115.135,NU,-27.4,0,NA,-7.9,0,-41.7,0,,,NA,4.4,0,NA,22,0,,,NA,1270.3,0,2300904
CORAL HARBOUR A,64.193,-83.359,NU,-34.1,0,-4.4,-21.8,0,-43.7,0,3.6,0,51,3.2,0,46,36,2,,,NA,1459.3,0,2301000
CORAL HARBOUR RCS,64.333,-83.617,NU,-33.9,1,NA,-21.6,1,-42.6,0,,,NA,5.2,3,NA,22,2,,,NA,1401,0,2301010
ARVIAT CLIMATE,61.1,-94.067,NU,-31.7,0,NA,-13.5,0,-39.3,0,,,NA,12.4,0,NA,,4,,,NA,1392.8,0,2301153
GJOA HAVEN A,68.636,-95.85,NU,-34,0,NA,-15.8,0,-40.7,0,,,NA,3.1,2,NA,,1,,,NA,1454.8,0,2302337
GJOA HAVEN CLIMATE,68.636,-95.85,NU,-34.2,0,NA,-16,0,-40.9,0,,,NA,1.6,0,NA,74,0,,,NA,1460.8,0,2302340
HAT ISLAND,68.318,-100.087,NU,-32.7,2,NA,-14.4,1,-39.1,1,,,NA,,,NA,,,,,NA,1317.9,0,2302370
CAM FOUR,68.437,-89.726,NU,-34.3,2,NA,-20.7,1,-41.2,1,,,NA,,,NA,,,,,NA,1358.7,0,2303093
KUGAARUK CLIMATE,68.538,-89.796,NU,-34.7,0,NA,-18.1,0,-45.2,0,,,NA,4.2,0,NA,4,0,,,NA,1474.3,0,2303094
RANKIN INLET A,62.811,-92.115,NU,-33.6,0,NA,-17.7,0,-40,0,12.5,0,NA,10.9,1,NA,51,3,,,NA,1443.7,0,2303405
SANIKILUAQ,56.537,-79.26,NU,-29,0,NA,-16.7,0,-35.8,0,,,NA,1.4,10,NA,,1,,,NA,1317.2,0,2303668
SHEPHERD BAY A,68.817,-93.433,NU,-37,2,NA,-17.5,1,-46.5,1,,,NA,,,NA,,,,,NA,1428.7,0,2303685
CROKER RIVER,69.276,-119.219,NU,-24.2,2,NA,-5.9,1,-36.5,1,,,NA,,,NA,,,,,NA,1096.1,0,230J01Q
LUPIN CS,65.755,-111.246,NU,-26.7,13,NA,-11.2,13,-41.8,0,,,NA,12.8,22,NA,75,2,,,NA,671.2,0,230N002
ALERT CLIMATE,82.5,-62.333,NU,-29.4,0,NA,-16.5,0,-41,0,,,NA,14.5,7,NA,16,6,,,NA,1327.4,0,2400305
ALERT UA,82.5,-62.333,NU,,,NA,,,,,22.6,0,NA,17.6,0,NA,15,4,,,NA,,,2400306
ARCTIC BAY CS,72.993,-85.012,NU,-35.1,3,NA,-24.7,3,-42.3,1,,,NA,0.7,23,NA,1,0,,,NA,1327.4,0,2400404
BREVOORT ISLAND,63.34,-64.146,NU,-25.6,3,NA,-16.1,2,-32.9,1,,,NA,,,NA,,,,,NA,1091,0,2400565
FOX FIVE,67.536,-63.789,NU,-28.4,2,NA,-19.1,1,-33.9,1,,,NA,,,NA,,,,,NA,1206.6,0,2400570
QIKIQTARJUAQ CLIMATE,67.547,-64.033,NU,-31,0,NA,-16.3,0,-39.9,0,,,NA,7.6,0,NA,68,2,,,NA,1373.1,0,2400573
QIKIQTARJUAQ A,67.547,-64.032,NU,-31.1,2,NA,-16.3,2,-39.4,2,,,NA,3,2,NA,,2,,,NA,1276.5,0,2400577
